207	-323.7	176.4	290
208	-323.7	176.4	348
209	-29.7	-29.4	-348
210	-29.7	-29.4	-290
211	-29.7	-29.4	-232
212	-29.7	-29.4	-174
213	-29.7	-29.4	-116
214	-29.7	-29.4	-58
215	-29.7	-29.4	0
216	-29.7	-29.4	58
217	-29.7	-29.4	116
218	-29.7	-29.4	174
219	-29.7	-29.4	232
220	-29.7	-29.4	290
221	-29.7	-29.4	348
222	29.7	-29.4	-348
223	29.7	-29.4	-290
224	29.7	-29.4	-232
225	29.7	-29.4	-174
226	29.7	-29.4	-116
227	29.7	-29.4	-58
228	29.7	-29.4	0
229	29.7	-29.4	58
230	29.7	-29.4	116
231	29.7	-29.4	174
232	29.7	-29.4	232
233	29.7	-29.4	290
234	29.7	-29.4	348
235	29.7	29.4	-348
236	29.7	29.4	-290
237	29.7	29.4	-232
238	29.7	29.4	-174
239	29.7	29.4	-116
240	29.7	29.4	-58
241	29.7	29.4	0
242	29.7	29.4	58
243	29.7	29.4	116
244	29.7	29.4	174
245	29.7	29.4	232
246	29.7	29.4	290
247	29.7	29.4	348
248	-29.7	29.4	-348
249	-29.7	29.4	-290
250	-29.7	29.4	-232
251	-29.7	29.4	-174
252	-29.7	29.4	-116
253	-29.7	29.4	-58
254	-29.7	29.4	0
255	-29.7	29.4	58
256	-29.7	29.4	116
257	-29.7	29.4	174
258	-29.7	29.4	232
259	-29.7	29.4	290
260	-29.7	29.4	348
261	-29.7	117.6	-348
262	-29.7	117.6	-290
263	-29.7	117.6	-232
264	-29.7	117.6	-174
265	-29.7	117.6	-116
266	-29.7	117.6	-58
267	-29.7	117.6	0
268	-29.7	117.6	58
269	-29.7	117.6	116
270	-29.7	117.6	174
271	-29.7	117.6	232
272	-29.7	117.6	290
273	-29.7	117.6	348
274	29.7	117.6	-348
275	29.7	117.6	-290
276	29.7	117.6	-232
277	29.7	117.6	-174
278	29.7	117.6	-116
279	29.7	117.6	-58
280	29.7	117.6	0
281	29.7	117.6	58
282	29.7	117.6	116
283	29.7	117.6	174
284	29.7	117.6	232
285	29.7	117.6	290
286	29.7	117.6	348
287	29.7	176.4	-348
288	29.7	176.4	-290
289	29.7	176.4	-232
290	29.7	176.4	-174
291	29.7	176.4	-116
292	29.7	176.4	-58
293	29.7	176.4	0
294	29.7	176.4	58
295	29.7	176.4	116
296	29.7	176.4	174
297	29.7	176.4	232
298	29.7	176.4	290
299	29.7	176.4	348
300	-29.7	176.4	-348
301	-29.7	176.4	-290
302	-29.7	176.4	-232
303	-29.7	176.4	-174
304	-29.7	176.4	-116
305	-29.7	176.4	-58
306	-29.7	176.4	0
307	-29.7	176.4	58
308	-29.7	176.4	116
